movie,likes,comments,shares
洞天,11112.0,921.0,619.0
洞天,9.0,2.0,0.0
屈原,1827.0,107.0,117.0
屈原,24023.0,1749.0,2971.0
屈原,1693.0,62.0,141.0
屈原,28929.0,2268.0,2704.0
屈原,27515.0,346.0,1098.0
屈原,7815.0,155.0,258.0
屈原,18.0,11.0,1.0
屈原,2505.0,48.0,78.0
屈原,24023.0,1749.0,2971.0
妖道至尊,3.0,0.0,0.0
妖道至尊,3.0,0.0,0.0
毛毛镇,69.0,23.0,36.0
毛毛镇,69.0,23.0,36.0
毛毛镇,69.0,23.0,36.0
毛毛镇,69.0,23.0,36.0
毛毛镇,69.0,23.0,36.0
无脑魔女,39.0,7.0,1.0
无脑魔女,39.0,7.0,1.0
无脑魔女,124.0,5.0,0.0
四格勇者,1245.0,43.0,27.0
四格勇者,664.0,26.0,23.0
四格勇者,1245.0,43.0,27.0
四格勇者,484.0,3.0,24.0
四格勇者,1245.0,43.0,27.0
四格勇者,484.0,3.0,24.0
四格勇者,664.0,26.0,23.0
四格勇者,97.0,1.0,2.0
四格勇者,1245.0,43.0,27.0
四格勇者,1245.0,43.0,27.0
四格勇者,664.0,26.0,23.0
四格勇者,7385.0,82.0,350.0
四格勇者,1245.0,43.0,27.0
节气小精灵,50.0,5.0,3.0
节气小精灵,50.0,2.0,1.0
节气小精灵,65.0,15.0,8.0
异空战歌,61.0,8.0,14.0
异空战歌,61.0,8.0,14.0
异空战歌,61.0,8.0,14.0
异空战歌,61.0,8.0,14.0
异空战歌,61.0,8.0,14.0
少年英雄小哪吒,505.0,27.0,52.0
少年英雄小哪吒,505.0,27.0,52.0
少年英雄小哪吒,99.0,8.0,19.0
霸王龙雷奇,74.0,3.0,6.0
雪王驾到,25.0,9.0,1.0
傲世九重天,880.0,13.0,28.0
明日方舟：冬隐归路,20.0,1.0,3.0
明日方舟：冬隐归路,7.0,0.0,1.0
三十六骑,414.0,73.0,18.0
三十六骑,313.0,14.0,15.0
三十六骑,161.0,19.0,7.0
三十六骑,414.0,73.0,18.0
三十六骑,161.0,19.0,7.0
三十六骑,161.0,0.0,7.0
三十六骑,240.0,0.0,22.0
三十六骑,414.0,73.0,18.0
三十六骑,161.0,19.0,7.0
三十六骑,313.0,14.0,15.0
三十六骑,414.0,73.0,18.0
三十六骑,161.0,19.0,7.0
三十六骑,414.0,73.0,18.0
三十六骑,161.0,19.0,7.0
小品一家人,255.0,11.0,15.0
小品一家人,255.0,11.0,15.0
小品一家人,989.0,38.0,31.0
小品一家人,417.0,14.0,14.0
小品一家人,215.0,4.0,2.0
小品一家人,255.0,11.0,15.0
小品一家人,417.0,14.0,14.0
小品一家人,989.0,38.0,31.0
小品一家人,255.0,11.0,15.0
小品一家人,989.0,38.0,31.0
小品一家人,417.0,14.0,14.0
小品一家人,365.0,14.0,10.0
小品一家人,253.0,12.0,10.0
小品一家人,371.0,6.0,8.0
小品一家人,215.0,4.0,2.0
小品一家人,255.0,11.0,15.0
小品一家人,417.0,14.0,14.0
小品一家人,989.0,38.0,31.0
小品一家人,255.0,11.0,15.0
小品一家人,417.0,14.0,14.0
小品一家人,357.0,8.0,29.0
小品一家人,989.0,38.0,31.0
小品一家人,215.0,4.0,2.0
超变战陀5百变战陀,141.0,6.0,3.0
正经少主的幸福生活,793.0,8.0,24.0
正经少主的幸福生活,793.0,8.0,24.0
正经少主的幸福生活,793.0,8.0,24.0
正经少主的幸福生活,793.0,8.0,24.0
正经少主的幸福生活,793.0,8.0,24.0
七侯笔录,444.0,28.0,110.0
七侯笔录,26.0,1.0,2.0
七侯笔录,26.0,1.0,2.0
七侯笔录,26.0,1.0,2.0
十方武圣,171.0,70.0,17.0
十方武圣,171.0,70.0,17.0
十方武圣,171.0,70.0,17.0
十方武圣,171.0,70.0,17.0
变形联盟,353.0,32.0,69.0
变形联盟,353.0,32.0,69.0
变形联盟,353.0,32.0,69.0
变形联盟,353.0,32.0,69.0
小刻的画图写话,57.0,3.0,8.0
小刻的画图写话,57.0,3.0,8.0
小刻的画图写话,57.0,3.0,8.0
小刻的画图写话,57.0,3.0,8.0
小刻的画图写话,57.0,3.0,8.0
小刻的画图写话,57.0,3.0,8.0
桃花扇,833956.0,65557.0,160246.0
风雪山神庙,320.0,7.0,10.0
风雪山神庙,104.0,4.0,5.0
风雪山神庙,340.0,20.0,71.0
年,21850.0,578.0,3102.0
年,72.0,9.0,21.0
年,44.0,3.0,0.0
年,1.0,0.0,0.0
年,129.0,28.0,20.0
年,18814.0,622.0,2374.0
年,321719.0,8215.0,32483.0
年,110151.0,988.0,18534.0
年,59748.0,725.0,9877.0
年,601.0,25.0,65.0
年,178649.0,5818.0,102887.0
年,322179.0,8571.0,153342.0
年,1596.0,35.0,550.0
年,6058.0,138.0,706.0
年,1205.0,31.0,38.0
年,18555.0,518.0,2439.0
年,35601.0,545.0,3454.0
年,1413.0,13.0,30.0
年,19770.0,238.0,971.0
年,3958.0,93.0,296.0
年,170.0,7.0,4.0
年,13650.0,308.0,1553.0
年,185.0,43.0,13.0
年,117.0,36.0,2.0
年,21850.0,578.0,3102.0
年,78698.0,831.0,7646.0
年,265121.0,4791.0,36907.0
年,11240.0,195.0,926.0
年,215787.0,3595.0,28142.0
年,185623.0,3406.0,31018.0
年,266204.0,3539.0,35851.0
年,501804.0,24273.0,159594.0
年,12.0,1.0,2.0
年,878.0,7.0,44.0
年,592.0,44.0,169.0
年,425.0,13.0,38.0
路,70.0,9.0,2.0
路,5.0,1.0,1.0
路,4.0,1.0,0.0
路,554.0,70.0,509.0
路,64.0,14.0,10.0
路,18.0,3.0,3.0
路,129850.0,1147.0,6805.0
路,491.0,58.0,26.0
路,1397.0,110.0,316.0
路,1823.0,123.0,16.0
路,144.0,19.0,0.0
路,112.0,3.0,1.0
路,27026.0,186.0,1989.0
路,943175.0,20651.0,367555.0
路,325873.0,4974.0,120509.0
路,49785.0,453.0,5320.0
路,4337.0,86.0,821.0
路,13.0,7.0,1.0
路,41265.0,1575.0,5002.0
路,66931.0,1228.0,8686.0
路,191.0,32.0,0.0
路,16298.0,307.0,914.0
路,3095.0,140.0,226.0
路,308.0,1153.0,30.0
路,455.0,69.0,262.0
路,31.0,6.0,46.0
路,127.0,15.0,52.0
路,10.0,0.0,1.0
路,554.0,70.0,509.0
火星西路7号,22.0,7.0,0.0
命运拳台,455.0,26.0,40.0
命运拳台,49.0,12.0,2.0
命运拳台,148.0,15.0,19.0
命运拳台,19.0,2.0,0.0
命运拳台,78.0,8.0,1.0
命运拳台,74.0,8.0,0.0
原来我早就无敌了,329.0,9.0,6.0
原来我早就无敌了,329.0,9.0,6.0
贝肯熊：火星任务,31.0,3.0,0.0
贝肯熊：火星任务,31.0,3.0,0.0
贝肯熊：火星任务,31.0,3.0,0.0
贝肯熊：火星任务,31.0,3.0,0.0
贝肯熊：火星任务,31.0,3.0,0.0
繁花似锦,36.0,0.0,0.0
繁花似锦,481385.0,7186.0,65578.0
繁花似锦,1839.0,30.0,62.0
繁花似锦,8354.0,352.0,1049.0
繁花似锦,519.0,40.0,18.0
三只兔子,525.0,9.0,3.0
都市最强仙尊,177.0,4.0,4.0
我靠签到逆天改命,1393.0,20.0,92.0
我靠签到逆天改命,1393.0,20.0,92.0
我靠签到逆天改命,1394.0,20.0,92.0
我靠签到逆天改命,1394.0,20.0,92.0
我靠签到逆天改命,15.0,1.0,0.0
我靠签到逆天改命,1393.0,20.0,92.0
我靠签到逆天改命,1394.0,20.0,92.0
我靠签到逆天改命,6839.0,61.0,117.0
弟子都说我无敌,55.0,2.0,1.0
弟子都说我无敌,55.0,2.0,1.0
弟子都说我无敌,55.0,2.0,1.0
史上最强,2438.0,149.0,680.0
大宇宙时代,17.0,3.0,0.0
大宇宙时代,17.0,3.0,0.0
大宇宙时代,17.0,3.0,0.0
异人君莫邪,60.0,0.0,2.0
万古第一神,234.0,9.0,27.0
万古第一神,234.0,9.0,27.0
亏成首富从游戏开始,339.0,7.0,17.0
旅途危机！圣芙蕾雅号特别事件,14.0,0.0,4.0
旅途危机！圣芙蕾雅号特别事件,14.0,0.0,4.0
旅途危机！圣芙蕾雅号特别事件,14.0,0.0,4.0
旅途危机！圣芙蕾雅号特别事件,14.0,0.0,4.0
旅途危机！圣芙蕾雅号特别事件,14.0,0.0,4.0
旅途危机！圣芙蕾雅号特别事件,14.0,0.0,4.0
捕星司·源起,768.0,19.0,13.0
开心超人,167.0,26.0,10.0
开心超人,208.0,14.0,7.0
开心超人,167.0,26.0,10.0
开心超人,7.0,3.0,2.0
开心超人,167.0,26.0,10.0
开心超人,17.0,2.0,0.0
开心超人,50.0,4.0,4.0
开心超人,1962.0,50.0,64.0
开心超人,5259.0,393.0,273.0
开心超人,167.0,26.0,10.0
牧神记,36.0,2.0,3.0
牧神记,23.0,5.0,1.0
牧神记,120.0,5.0,69.0
牧神记,155.0,5.0,2.0
守龙者,92.0,20.0,3.0
守龙者,92.0,20.0,3.0
神道帝尊,954.0,62.0,18.0
神道帝尊,299.0,7.0,1.0
神道帝尊,954.0,62.0,18.0
神道帝尊,299.0,7.0,1.0
宗门里除了我都是卧底,970.0,43.0,15.0
宗门里除了我都是卧底,970.0,43.0,15.0
白蛇：浮生,1343.0,53.0,483.0
白蛇：浮生,1343.0,53.0,483.0
大道朝天,4013.0,793.0,108.0
大道朝天,119.0,8.0,7.0
大道朝天,4013.0,793.0,108.0
大道朝天,119.0,8.0,7.0
大道朝天,4013.0,793.0,108.0
大道朝天,9654.0,110.0,219.0
大道朝天,4013.0,793.0,108.0
喜羊羊与灰太狼,2.0,1.0,0.0
喜羊羊与灰太狼,11002.0,669.0,4675.0
喜羊羊与灰太狼,2.0,1.0,0.0
虎鹤妖师录,19978.0,818.0,5455.0
虎鹤妖师录,19978.0,818.0,5455.0
虎鹤妖师录,19978.0,818.0,5455.0
虎鹤妖师录,123.0,23.0,19.0
虎鹤妖师录,5028.0,205.0,294.0
虎鹤妖师录,19978.0,818.0,5455.0
虎鹤妖师录,123.0,23.0,19.0
虎鹤妖师录,3576.0,463.0,169.0
虎鹤妖师录,19978.0,818.0,5455.0
盒中之海,18.0,1.0,1.0
盒中之海,18.0,1.0,1.0
盒中之海,15.0,3.0,9.0
盒中之海,88.0,3.0,0.0
盒中之海,9.0,9.0,2.0
盒中之海,18.0,1.0,1.0
伍六七,178746.0,7200.0,21561.0
伍六七,178746.0,7200.0,21561.0
伍六七,21130.0,542.0,3336.0
伍六七,11488.0,274.0,569.0
伍六七,2335.0,83.0,129.0
伍六七,503.0,14.0,25.0
伍六七,1769.0,28.0,70.0
伍六七,170.0,20.0,3.0
伍六七,22.0,1.0,0.0
伍六七,149.0,37.0,7.0
伍六七,977.0,69.0,114.0
头脑特工队,28.0,2.0,6.0
头脑特工队,28.0,2.0,6.0
头脑特工队,931.0,33.0,1908.0
头脑特工队,5822.0,122.0,244.0
头脑特工队,2866.0,53.0,136.0
头脑特工队,4029.0,167.0,317.0
头脑特工队,26.0,6.0,2.0
头脑特工队,895.0,23.0,45.0
头脑特工队,1253.0,27.0,61.0
头脑特工队,342.0,34.0,4.0
头脑特工队,28.0,2.0,6.0
哈小浪,35.0,5.0,0.0
哈小浪,35.0,5.0,0.0
神奇马戏团,32.0,0.0,7.0
神奇马戏团,32.0,0.0,7.0
伞少女,65.0,2.0,20.0
伞少女,65.0,2.0,20.0
爆炫星陀,25.0,3.0,0.0
爆炫星陀,25.0,3.0,0.0
怪想售,72.0,1.0,0.0
怪想售,72.0,1.0,0.0
怪想售,72.0,1.0,0.0
怪想售,72.0,1.0,0.0
怪想售,72.0,1.0,0.0
盟卡车神,3412.0,300.0,205.0
盟卡车神,3412.0,300.0,205.0
盟卡车神,3412.0,300.0,205.0
盟卡车神,3412.0,300.0,205.0
盟卡车神,3412.0,300.0,205.0
盟卡车神,3412.0,300.0,205.0
咖宝车神,2514.0,148.0,138.0
白色闪电,1.0,0.0,0.0
白色闪电,897.0,26.0,89.0
白色闪电,2563.0,144.0,186.0
白色闪电,5178.0,161.0,275.0
白色闪电,2563.0,88.0,99.0
白色闪电,722.0,48.0,38.0
白色闪电,1836.0,48.0,69.0
白色闪电,2993.0,147.0,73.0
白色闪电,559.0,35.0,12.0
白色闪电,281.0,15.0,12.0
白色闪电,6099.0,255.0,194.0
白色闪电,3058.0,94.0,93.0
喜羊羊与灰太狼,60.0,4.0,2.0
一,48.0,4.0,6.0
一,182.0,4.0,14.0
一,225.0,26.0,7.0
一,267283.0,4314.0,49727.0
一,2253.0,49.0,473.0
一,87792.0,712.0,16371.0
一,892.0,9.0,13.0
一,1131.0,39.0,32.0
一,1123.0,30.0,28.0
一,6144.0,139.0,718.0
一,3778463.0,91009.0,2967442.0
一,203480.0,3757.0,27595.0
一,1.0,0.0,0.0
一,2417.0,42.0,79.0
一,20118.0,120.0,724.0
一,154.0,19.0,0.0
一,114.0,7.0,3.0
一,78874.0,837.0,7672.0
一,367.0,22.0,36.0
一,2314.0,96.0,236.0
一,264.0,10.0,28.0
一,94855.0,1138.0,11776.0
一,84607.0,1203.0,13206.0
一,17690.0,638.0,2838.0
一,65900.0,3321.0,32489.0
一,3009.0,168.0,1581.0
一,276.0,42.0,20.0
休,2472.0,81.0,126.0
休,1144.0,109.0,40.0
休,3959.0,115.0,681.0
休,3538.0,103.0,743.0
休,1520.0,46.0,197.0
休,275.0,18.0,24.0
休,2822.0,91.0,178.0
休,1222.0,18.0,123.0
休,240.0,14.0,4.0
休,234.0,6.0,17.0
休,8245.0,326.0,837.0
休,7805.0,332.0,779.0
休,1340.0,47.0,84.0
休,836.0,68.0,13.0
小诗人,1311.0,47.0,21.0
龙门,990.0,66.0,121.0
龙门,408.0,24.0,23.0
龙门,65.0,10.0,6.0
龙门,565.0,57.0,29.0
龙门,62.0,19.0,14.0
龙门,38713.0,250.0,4385.0
龙门,389.0,81.0,99.0
龙门,43009.0,229.0,4245.0
龙门,43955.0,834.0,7482.0
龙门,21465.0,280.0,1475.0
龙门,316.0,36.0,58.0
龙门,21.0,5.0,1.0
龙门,32.0,11.0,1.0
龙门,19.0,2.0,0.0
龙门,4603.0,35.0,102.0
龙门,24.0,1.0,0.0
龙门,296.0,23.0,87.0
龙门,10.0,2.0,6.0
出口,15038.0,962.0,572.0
出口,403.0,4.0,6.0
出口,204.0,9.0,5.0
出口,44.0,2.0,2.0
出口,69.0,13.0,2.0
出口,40.0,0.0,3.0
出口,3276.0,340.0,1286.0
喜羊羊与灰太狼,4438.0,142.0,231.0
喜羊羊与灰太狼,25.0,5.0,2.0
喜羊羊与灰太狼,11.0,1.0,1.0
喜羊羊与灰太狼,7.0,7.0,0.0
喜羊羊与灰太狼,2410.0,49.0,113.0
喜羊羊与灰太狼,639.0,2292.0,201.0
喜羊羊与灰太狼,44455.0,1302.0,3223.0
喜羊羊与灰太狼,108946.0,6867.0,28288.0
喜羊羊与灰太狼,5004.0,223.0,968.0
喜羊羊与灰太狼,3851.0,76.0,211.0
喜羊羊与灰太狼,8.0,3.0,0.0
喜羊羊与灰太狼,1.0,1.0,0.0
喜羊羊与灰太狼,609.0,36.0,170.0
喜羊羊与灰太狼,42.0,8.0,382.0
喜羊羊与灰太狼,117.0,13.0,14.0
幻宠师,104.0,2.0,0.0
幻宠师,104.0,2.0,0.0
幻宠师,104.0,2.0,0.0
幻宠师,90.0,3.0,1.0
幻宠师,104.0,2.0,0.0
回铭,20.0,2.0,0.0
我在修仙世界朝九晚五,78.0,4.0,1.0
我在修仙世界朝九晚五,78.0,4.0,1.0
我在修仙世界朝九晚五,78.0,4.0,1.0
我在修仙世界朝九晚五,308.0,11.0,3.0
我在修仙世界朝九晚五,78.0,4.0,1.0
我在修仙世界朝九晚五,78.0,4.0,1.0
我在修仙世界朝九晚五,45.0,5.0,3.0
宝莲灯,201892.0,3955.0,117789.0
宝莲灯,11437.0,731.0,249.0
宝莲灯,4610.0,288.0,812.0
宝莲灯,618.0,9.0,11.0
宝莲灯,292584.0,1460.0,16728.0
宝莲灯,201892.0,3955.0,117789.0
宝莲灯,61942.0,944.0,20755.0
没头脑和不高兴,26013.0,195.0,1933.0
没头脑和不高兴,907.0,1.0,19.0
没头脑和不高兴,1307.0,9.0,34.0
没头脑和不高兴,5.0,3.0,2.0
白玉堂,412.0,17.0,14.0
白玉堂,412.0,17.0,14.0
白玉堂,412.0,17.0,14.0
白玉堂,412.0,17.0,14.0
白玉堂,39.0,4.0,0.0
白玉堂,32.0,1.0,0.0
白玉堂,8.0,0.0,0.0
白玉堂,119.0,6.0,4.0
白玉堂,412.0,17.0,14.0
白玉堂,7.0,6.0,87.0
小和尚,1557.0,43.0,35.0
红孩儿传奇,6.0,1.0,0.0
红孩儿传奇,6.0,1.0,0.0
红孩儿传奇,6.0,1.0,0.0
反派初始化,14026.0,315.0,1681.0
反派初始化,176.0,3.0,3.0
开心超人,167.0,26.0,10.0
开心超人,208.0,14.0,7.0
开心超人,167.0,26.0,10.0
开心超人,7.0,3.0,2.0
开心超人,167.0,26.0,10.0
开心超人,17.0,2.0,0.0
开心超人,50.0,4.0,4.0
开心超人,1962.0,50.0,64.0
开心超人,5259.0,393.0,273.0
虚无边境,9.0,0.0,2.0
神之一脚,5256.0,73.0,637.0
林海雪原,92.0,2.0,6.0
仙女奇缘,18.0,0.0,0.0
仙女奇缘,18.0,0.0,0.0
仙女奇缘,18.0,0.0,0.0
梦想总动员,36.0,63.0,4.0
梦想总动员,36.0,63.0,4.0
女娲补天,405493.0,9899.0,172952.0
女娲补天,473.0,0.0,29.0
女娲补天,1271.0,31.0,25.0
女娲补天,3862.0,110.0,444.0
女娲补天,405493.0,9899.0,172952.0
鹿铃,36.0,10.0,8.0
鹿铃,296.0,71.0,13.0
鹿铃,72.0,9.0,1.0
鹿铃,36.0,10.0,8.0
鹿铃,36.0,10.0,8.0
崂山道士,16554.0,110.0,1817.0
崂山道士,34.0,7.0,50.0
崂山道士,212320.0,7503.0,87984.0
南郭先生,4282.0,234.0,437.0
南郭先生,4282.0,234.0,437.0
南郭先生,4282.0,234.0,437.0
南郭先生,4282.0,234.0,437.0
人参果,13083.0,551.0,1327.0
人参果,8415.0,411.0,1045.0
人参果,780.0,30.0,195.0
人参果,8547.0,313.0,732.0
人参果,48.0,10.0,3.0
人参果,4746.0,626.0,448.0
人参果,34.0,1.0,22.0
人参果,6641.0,257.0,14581.0
人参果,7265.0,517.0,407.0
人参果,13083.0,551.0,1327.0
人参果,980.0,221.0,74.0
人参果,780.0,30.0,195.0
人参果,74.0,7.0,19.0
三个和尚,138.0,9.0,84.0
三个和尚,67.0,7.0,12.0
大英雄狄青,1634.0,124.0,70.0
大英雄狄青,1277.0,67.0,151.0
大英雄狄青,1759.0,87.0,89.0
大英雄狄青,1759.0,87.0,89.0
大英雄狄青,3271.0,216.0,96.0
大英雄狄青,1277.0,67.0,151.0
大英雄狄青,3271.0,216.0,96.0
大英雄狄青,1759.0,87.0,89.0
大英雄狄青,1634.0,124.0,70.0
大英雄狄青,1277.0,67.0,151.0
大英雄狄青,484.0,56.0,24.0
大英雄狄青,1759.0,87.0,89.0
快乐家家车,988.0,204.0,898.0
快乐家家车,988.0,204.0,898.0
快乐家家车,988.0,204.0,898.0
快乐家家车,988.0,204.0,898.0
快乐家家车,988.0,204.0,898.0
快乐家家车,988.0,204.0,898.0
大雨,6783.0,521.0,1628.0
大雨,18247.0,192.0,901.0
大雨,6783.0,521.0,1628.0
大雨,100739.0,5985.0,16914.0
大雨,269052.0,3398.0,86148.0
大雨,1234.0,77.0,989.0
大雨,0.0,0.0,0.0
大雨,6783.0,521.0,1628.0
大雨,6784.0,521.0,1628.0
大雨,6784.0,521.0,1628.0
缔灵爱,4881.0,250.0,104.0
缔灵爱,32.0,6.0,2.0
苍兰诀,6953.0,201.0,234.0
苍兰诀,201557.0,3952.0,27153.0
苍兰诀,2631.0,121.0,70.0
苍兰诀,15839.0,2313.0,2067.0
苍兰诀,244.0,57.0,91.0
苍兰诀,3129.0,1342.0,64.0
苍兰诀,14941.0,379.0,1312.0
苍兰诀,231.0,38.0,27.0
苍兰诀,1638.0,56.0,233.0
苍兰诀,5313.0,449.0,404.0
苍兰诀,5313.0,449.0,404.0
苍兰诀,6499.0,208.0,189.0
苍兰诀,248.0,7.0,16.0
苍兰诀,248.0,55.0,0.0
苍兰诀,2264.0,116.0,121.0
苍兰诀,6619.0,843.0,1329.0
苍兰诀,10.0,0.0,2.0
苍兰诀,34.0,3.0,11.0
苍兰诀,6953.0,201.0,234.0
苍兰诀,201560.0,3952.0,27153.0
苍兰诀,6954.0,201.0,234.0
苍兰诀,641.0,65.0,121.0
苍兰诀,5.0,3.0,2.0
苍兰诀,5314.0,218.0,1647.0
嫁人就嫁灰太狼,21668.0,399.0,2688.0
明日方舟：焰烬曙明,3.0,1.0,0.0
明日方舟：焰烬曙明,3.0,1.0,0.0
明日方舟：焰烬曙明,3.0,1.0,0.0
明日方舟：焰烬曙明,3.0,1.0,0.0
明日方舟：焰烬曙明,3.0,1.0,0.0
明日方舟：焰烬曙明,3.0,1.0,0.0
系统逼我做反派 动态漫,33.0,2.0,1.0
龅牙的快乐生活,64.0,4.0,6.0
龅牙的快乐生活,36.0,1.0,6.0
龅牙的快乐生活,64.0,4.0,6.0
龅牙的快乐生活,36.0,1.0,6.0
龅牙的快乐生活,1186.0,59.0,35.0
龅牙的快乐生活,19.0,2.0,5.0
龅牙的快乐生活,36.0,1.0,6.0
龅牙的快乐生活,1186.0,59.0,35.0
