movie,bilibili_movie_dataall_play_count_plays_log_minmax,bilibili_movie_dataall_followers_followers_log_minmax,bilibili_movie_dataall_likes_interactions_log_minmax,bilibili_movie_dataall_coins_interactions_log_minmax,bilibili_movie_dataall_total_favorite_log_minmax,bilibili_movie_dataall_shares_interations_log_minmax,bilibili_movie_dataall_danmu_interactions_log_minmax,bilibili_movie_dataall_score_ratings_log_minmax,bilibili_movie_creations_creations_log_minmax,bilibili_movie_creations_videos_log_minmax,bilibili_movie_comments_comment_count_log_minmax,movie_imdb_final_new_rating_votes_log_minmax,movie_imdb_final_new_rating_score_minmax
一,0.0,0.15558996342912018,0.012323637142772242,0.09449873190861512,0.13509280500754278,0.12844414320726427,0.0,0.0,0.0,0.0,0.5206009455990106,,
休,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,0.0,0.0,0.0,,
伞少女,0.4507692801404356,0.6868521003181647,0.46857144063503864,0.6377733634325433,0.5985744586156746,0.6312996436143437,0.5564268574795296,0.9416542327703319,0.0,0.0,0.7192908611981872,0.17151219481736651,
出口,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,0.0,0.0,0.0,0.5597147151957335,0.8999999999999999
功夫王,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,0.0,0.0,0.0,,
加菲猫家族,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,0.0,0.0,0.0,,
哪吒,1.0,0.9248636303548812,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,
喜羊羊与灰太狼,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,0.0,0.0,0.0,0.26305852829948684,0.2749999999999999
嗨！神兽,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,0.9033534448888034,0.9063458502925986,0.0,,
四季童年,0.0790666076073124,0.25774615810144386,0.18927582623005842,0.4069728791967972,0.30452614941512035,0.33910564383268915,0.24554742441881477,0.0,0.0,0.0,0.556865658798368,,
大雨,0.49535340104182396,0.7360593413234781,0.4642165826938502,0.6694168108157653,0.5580699540390724,0.6531086355978931,0.5727993790704825,0.9371595566792303,0.0,0.0,0.7338027759906668,0.3892395715531502,0.0
天降大任,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,0.0,0.0,0.0,,
头脑特工队,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,0.0,0.0,0.0,,
守龙者,0.14586762469128906,0.27972658678572554,0.10218773806594933,0.16027655010012984,0.22481502847868443,0.26383363699847656,0.38525945731038785,0.0,0.0,0.0,0.5758304160765726,0.47087244673003315,0.55
小诗人,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,0.0,0.0,0.0,0.0,
开心超人,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,0.0,0.0,0.6962845428180144,0.1000369412993632,
心源,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,0.0,0.0,0.0,,
恶兽,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,0.0,0.0,0.0,,
新大头儿子和小头爸爸,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,0.0,0.0,0.0,,
时间之子,0.3207339598482234,0.48265134322500314,0.35538352098194154,0.5412034298309787,0.4838428321337125,0.5438772553693566,0.5564268574795296,0.9634336246977468,0.0,0.0,0.704462860770975,0.18687967317578932,0.7749999999999999
棉花糖和云朵妈妈,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,0.0,0.0,0.0,,
欢乐丛林,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,0.0,0.0,0.0,,
江豚·风时舞,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,0.0,0.0,0.0,0.07038033468470078,
浪浪山小妖怪,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,0.0,0.0,0.0,,
熊出没,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,0.0,0.0,0.0,0.25529928361150267,0.575
猪猪侠大电影·星际行动,0.32286049197706984,0.18572331807597284,0.11357049330319263,0.1299006902325866,0.13963340974458652,0.2930059094500299,0.3363957105601433,0.5610318066896148,0.0,0.0,0.5872779486276449,,
王牌二哈,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,0.7406022510826102,0.9522427103268788,0.0,,
白蛇：浮生,0.6470866447878132,1.0,0.6314039973201645,0.810000775935522,0.7231930087856092,0.7750729856403232,0.7782211668616625,0.9881612394218219,0.0,0.0,0.8524140725226693,,
百变马丁：怪兽大作战,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,1.0,0.9636653129861646,0.0,,
盒中之海,0.6327039253719313,0.7226696831891385,0.6147262323129518,0.7744170421221812,0.7815053662435144,0.7968709888573196,0.7254231158733252,0.9718388690507758,0.0,0.0,0.825463422203153,,
罗小黑战记,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,0.0,0.0,0.0,,
聊斋：兰若寺,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,0.0,0.0,0.0,,
舒克贝塔·五角飞碟,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,0.0,0.0,0.0,,
茶啊二中,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,1.0,0.942400495319201,0.0,0.28754394689292756,0.75
萌鼠大冒险,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,1.0,0.9385905960279036,0.0,,
落凡尘,0.7286147962093976,0.6777836171375543,0.5485139080077552,0.7777487285958333,0.6809061642268988,0.7013801040722621,0.6422267765193209,0.9921446645879025,0.0,0.0,0.7722910066054188,0.2947430348746716,0.875
蚂蚁传奇,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,0.0,0.0,0.0,,
贝肯熊：火星任务,0.1791149952712056,0.2725179407720775,0.13641687430411892,0.2112685805550172,0.18658015563973904,0.22646765724517615,0.28298904390526686,0.0,0.7406022510826102,0.8316549609512548,0.5248252013344648,,
超级英雄美猴王：齐天儿,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,1.0,0.9871324014337393,0.0,,
超级飞侠：乐迪加速,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,1.0,1.0,0.0,,
趣说经典,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,0.0,0.0,0.0,,
迷你特工队,0.10421575650793938,0.0,0.0,0.0,0.0,0.0,0.03304541598598203,0.0,0.0,0.0,0.39775171231658274,,
长安三万里,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,1.0,0.9800529192330785,0.0,0.4550553257331425,1.0
阿狸,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,0.0,0.0,0.0,,
雄狮少年,0.5853196329204822,0.5690351269518821,0.5981051181688439,0.8507340244698459,0.6913081994868496,0.7098332453233521,0.7085167395384954,0.9800792940238952,0.0,0.0,0.9609330902795868,0.45765192349980294,1.0
雪域少年,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,1.0,0.9237624885200065,0.0,,
非人哉：限时玩家,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,0.0,0.0,0.0,,
飞向月球,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,0.9033534448888034,0.9368539992384066,0.0,,
龙珠寻游记,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,0.9033534448888034,0.8734667100165725,0.0,1.0,0.875
龙门,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,0.0,0.0,0.0,0.6068876697709765,0.6000000000000001
