动漫名,豆瓣评分,评分人数,文字数,类型,制片国家/地区,语言,上映日期
玉米的歌声(2023),,0人评价,0, / 动画 / / / 短片, / 中国大陆, / 汉语普通话, / 2023-06-10(中国大陆)
星期五晚上的胡萝卜(2023),,0人评价,0, / 剧情 / / / 动画 / / / 短片, / 中国大陆, / 汉语普通话, / 2023-06-10(中国大陆网络)
晚高峰(2022),,0人评价,0, / 动画 / / / 短片, / 中国大陆, / 汉语普通话, / 2022-06-30(中国大陆)
日出原理(2021),,0人评价,0, / 动画 / / / 短片, / 中国大陆, / 无对白, / 2021-06(中国大陆)
明日恐惧症(2022),,0人评价,0, / 动画 / / / 短片, / 中国大陆, / 无对白, / 2022-05-30(中国大陆)
每天朝山顶推一秒的石头(2021),,0人评价,0, / 动画 / / / 短片, / 中国大陆, / 方言,
唤醒石头里存在的生命(2023),,0人评价,0, / 动画 / / / 短片, / 中国大陆, / 汉语普通话, / 2023-06-10(中国大陆)
水月洞天(2004),8.6,56537,283, / 动作 / / / 奇幻 / / / 古装, / 中国大陆, / 汉语普通话,
心奇爆龙战车之暴龙出击3(2023),,0人评价,0, / 科幻 / / / 动画 / / / 儿童 / / / 冒险, / 中国大陆, / 汉语普通话,
屈原(1999),7.8,505,5, / 剧情 / / / 传记 / / / 历史, / 中国大陆, / 汉语普通话,
卡卡虎大冒险 第四季(2022),,0人评价,0, / 动画, / 中国大陆, / 汉语普通话,
丹道至尊(2023),,0人评价,0, / 动作 / / / 动画 / / / 奇幻, / 中国大陆, / 汉语普通话,
斗破苍穹 第四季(2021),7.1,22973,248, / 动作 / / / 动画 / / / 奇幻 / / / 冒险, / 中国大陆, / 汉语普通话,
毛毛镇 海洋大发现 毛毛镇之海洋大发现(2023),,0人评价,0, / 动画 / / / 儿童 / / / 奇幻 / / / 冒险, / 中国大陆, / 汉语普通话,
无脑魔女(2023),,0人评价,0, / 动画, / 中国大陆, / 汉语普通话,
新大头儿子和小头爸爸：欢乐亲子营(2022),,0人评价,0, / 动画, / 中国大陆, / 汉语普通话 Mandarin,
中国畅想曲(2023),,0人评价,0, / 动画 / / / 音乐, / 中国大陆,,
棉花糖和云朵妈妈 快乐生活2(2023),,0人评价,0, / 动画 / / / 儿童, / 中国大陆,,
奇奇和努娜 第一季(2020),,0人评价,0, / 动画 / / / 儿童, / 中国大陆, / 汉语普通话,
小绿和小蓝 第二季(2023),,0人评价,0, / 动画 / / / 奇幻, / 中国大陆, / 汉语普通话,
怪兽小馆(2023),,0人评价,1, / 动画, / 中国大陆, / 汉语普通话,
时光代理人 第二季(2023),7.7,26596,73, / 动画 / / / 悬疑, / 中国大陆, / 汉语普通话,
四格勇者(2023),,0人评价,0, / 动画, / 中国大陆, / 汉语普通话,
第一序列(2023),7.7,5216,5, / 动画, / 中国大陆, / 汉语普通话,
镇魂街 第三季(2023),7.5,7622,14, / 动画, / 中国大陆, / 汉语普通话,
拇指总动员1(2020),,0人评价,0, / 喜剧 / / / 动画 / / / 儿童, / 中国大陆, / 汉语普通话,
神兽 第一季 The Unicorn Season 1(2019),7.2,396,0, / 喜剧, / 美国, / 英语,
节气小精灵(2023),,0人评价,0, / 动画 / / / 儿童 / / / 奇幻, / 中国大陆, / 汉语普通话,
异空战歌(2023),,0人评价,1, / 动画, / 中国大陆, / 汉语普通话,
巧虎奇幻舞台历险记(2023),,0人评价,1, / 动画, / 中国大陆, / 汉语普通话, / 2023-06-01(中国大陆)
少年英雄小哪吒(2023),,0人评价,0,, / 中国大陆,,
霸王龙雷奇 第一季 霸王龙雷奇(2023),,0人评价,2, / 动画 / / / 儿童, / 中国大陆, / 汉语普通话,
露露和吉米 Lulu und Jimi(2009),,0人评价,0, / 剧情 / / / 爱情 / / / 音乐, / 德国 / 法国, / 德语 / 英语, / 2009-01-22
雪王驾到(2023),8,1717,2, / 喜剧 / / / 动画 / / / 奇幻 / / / 冒险, / 中国大陆, / 汉语普通话,
善恶魔法学院 The School for Good and Evil(2022),5.7,11170,29, / 剧情 / / / 动作 / / / 奇幻, / 美国, / 英语, / 2022-10-19(美国网络)
如果历史是一群喵 第十季(2023),,0人评价,0, / 动画 / / / 历史, / 中国大陆, / 汉语普通话,
诸葛亮之定军山(2023),,0人评价,0, / 动画 / / / 儿童 / / / 传记 / / / 历史 / / / 战争 / / / 古装, / 中国大陆, / 汉语普通话,
致所有我曾爱过的男孩3 To All The Boys: Always And Forever(2021),6.9,8011,14, / 喜剧 / / / 爱情, / 美国, / 英语, / 2021-02-12(美国)
小绿和小蓝 第三季(2023),,0人评价,0, / 剧情 / / / 喜剧 / / / 动作 / / / 动画 / / / 奇幻 / / / 冒险, / 中国大陆, / 汉语普通话,
凹凸学园 第三季(2023),,0人评价,0, / 动画, / 中国大陆, / 汉语普通话,
给我来个小狐狸(2023),,0人评价,0, / 动画, / 中国大陆, / 汉语普通话,
傲世九重天(2023),,0人评价,1, / 动画, / 中国大陆, / 汉语普通话,
明日方舟：冬隐归路 アークナイツ【冬隠帰路/PERISH IN FROST】(2023),,0人评价,0, / 动作 / / / 科幻 / / / 动画, / 日本 / 中国大陆, / 日语 / 汉语普通话,
明日方舟：冬隐归路 アークナイツ【冬隠帰路/PERISH IN FROST】(2023),,0人评价,0, / 动作 / / / 科幻 / / / 动画, / 日本 / 中国大陆, / 日语 / 汉语普通话,
三十六骑 第一季(2023),8.2,4688,6, / 动画 / / / 奇幻, / 中国大陆, / 汉语普通话,
小品一家人之菜鸟特工(2024),,0人评价,0, / 喜剧 / / / 动作 / / / 科幻 / / / 动画 / / / 儿童, / 中国大陆, / 汉语普通话,
超变战陀5百变战陀(2023),,0人评价,0, / 科幻 / / / 动画 / / / 儿童 / / / 冒险, / 中国大陆, / 汉语普通话,
正经少主的幸福生活(2023),,0人评价,2, / 动画, / 中国大陆, / 汉语普通话,
少年歌行 海外仙山篇(2023),6.6,7435,90, / 动画 / / / 武侠, / 中国大陆, / 汉语普通话,
钢铁飞龙4捕梦奇兵(2023),,0人评价,0, / 科幻 / / / 动画 / / / 儿童 / / / 冒险, / 中国大陆, / 汉语普通话,
七侯笔录(2023),,0人评价,0, / 动画, / 中国大陆, / 汉语普通话,
炫卡斗士之猛兽能量(2024),,0人评价,0, / 剧情 / / / 科幻 / / / 动画 / / / 儿童 / / / 冒险, / 中国大陆,,
你的人生是我来迟了(2023),,0人评价,0, / 动画, / 中国大陆, / 汉语普通话,
屋事生非  第二季 Spaced Season 2(2001),9.2,3153,2, / 喜剧, / 英国, / 英语,
屋事生非 第一季 Spaced Season 1(1999),8.7,5794,15, / 喜剧, / 英国, / 英语,
十方武圣(2023),,0人评价,3, / 动画, / 中国大陆, / 汉语普通话,
不死不灭之少年出山(2023),,0人评价,0, / 动画, / 中国大陆, / 汉语普通话,
"爱，死亡和机器人 第二季 Love, Death & Robots Season 2(2021)",6.9,229516,623, / 喜剧 / / / 科幻 / / / 动画 / / / 恐怖 / / / 短片 / / / 奇幻, / 美国, / 英语,
变形联盟3越空勇者(2023),,0人评价,0, / 科幻 / / / 动画 / / / 儿童 / / / 冒险, / 中国大陆, / 汉语普通话,
小刻de画图写话(2023),,0人评价,0, / 喜剧 / / / 科幻 / / / 动画 / / / 短片 / / / 儿童 / / / 奇幻, / 中国大陆, / 汉语普通话 / 日语,
小刻de画图写话(2023),,0人评价,0, / 喜剧 / / / 科幻 / / / 动画 / / / 短片 / / / 儿童 / / / 奇幻, / 中国大陆, / 汉语普通话 / 日语,
猪猪侠之五灵守卫者(2015),7.5,3391,3, / 动作 / / / 科幻 / / / 动画 / / / 儿童 / / / 冒险, / 中国大陆, / 汉语普通话,
燃夏(2023),,0人评价,0, / 动画, / 中国大陆, / 汉语普通话,
胶囊计划 第二季(2023),7.5,4818,29, / 剧情 / / / 动画, / 中国大陆, / 汉语普通话,
盟卡车神之魔幻元珠3 盟卡车神之魔幻元珠(2023),,0人评价,0, / 科幻 / / / 动画, / 中国大陆 / 韩国, / 汉语普通话 / 韩语,
槑好时光·城南忆事(2023),,0人评价,0, / 动画, / 中国大陆, / 汉语普通话,
桃花扇(1963),8,2016,18, / 爱情 / / / 历史 / / / 古装, / 中国大陆, / 汉语普通话, / 1963
风雪山神庙(2014),7.8,2611,4, / 动作 / / / 动画 / / / 短片, / 中国大陆, / 汉语普通话,
年(2010),6.9,259,0, / 短片, / 中国大陆, / 汉语普通话, / 2010-07-05
末日危途 The Road(2009),7.7,48032,318, / 剧情 / / / 惊悚 / / / 冒险 / / / 灾难, / 美国, / 英语, / 2009-11-25(美国)
仙王的日常生活 第四季(2023),6.9,1224,0, / 动画, / 中国大陆, / 汉语普通话,
火星西路7号(2023),,0人评价,15, / 动画, / 中国大陆, / 汉语普通话,
命运拳台(2023),,0人评价,13, / 动画, / 中国大陆, / 汉语普通话,
贝肯熊：火星任务(2023),6.7,4781,52, / 喜剧 / / / 科幻 / / / 动画 / / / 冒险, / 中国大陆, / 汉语普通话, / 2023-09-28(中国大陆)
枕刀歌 第二季(2023),9.2,10461,31, / 剧情 / / / 动作 / / / 动画 / / / 武侠, / 中国大陆, / 汉语普通话,
乖桃与闹瓜(2020),,0人评价,0, / 动画 / / / 儿童, / 中国大陆, / 汉语普通话,
妙趣横生故事汇(2022),,0人评价,0, / 动画 / / / 儿童, / 中国大陆, / 汉语普通话,
我们有鬼啦 We Have a Ghost(2023),5.8,2722,3, / 喜剧 / / / 悬疑 / / / 恐怖 / / / 冒险, / 美国, / 英语, / 2023-02-24(美国网络)
我们与恶的距离2 我們與惡的距離Ⅱ(2025),8.4,17968,95, / 剧情 / / / 犯罪, / 中国台湾, / 汉语普通话 / 闽南语,
春芽宝贝(2016),,0人评价,0, / 动画 / / / 儿童, / 中国大陆, / 汉语普通话,
中华才子传 第一季(2025),,0人评价,2, / 纪录片, / 中国大陆, / 汉语普通话,
使女的故事 第一季 The Handmaid's Tale Season 1(2017),8.9,111609,384, / 剧情 / / / 科幻, / 美国, / 英语,
彩虹的故事(1998),,0人评价,0, / 纪录片 / / / 短片, / 中国台湾, / 汉语普通话 / 泰雅语,
辣妈正传(2013),6.8,30299,130, / 剧情 / / / 喜剧 / / / 家庭, / 中国大陆, / 汉语普通话,
和女儿的日常 第一季(2016),8.6,1652,2, / 动画 / / / 家庭 / / / 儿童, / 中国大陆, / 汉语普通话,
托宝战士之银河侦探 第六季(2025),,0人评价,0, / 动画, / 中国大陆,,
镇魂街之热血再燃(2024),5.9,2001,11, / 剧情 / / / 动作 / / / 爱情 / / / 冒险, / 中国大陆, / 汉语普通话,
托宝战士之银河侦探 第六季(2025),,0人评价,0, / 动画, / 中国大陆,,
托宝战士之银河侦探 第六季(2025),,0人评价,0, / 动画, / 中国大陆,,
托宝战士之银河侦探 第六季(2025),,0人评价,0, / 动画, / 中国大陆,,
百变雄师 第一季 Challenge of the GoBots Season 1(1984),7.5,3040,2, / 动作 / / / 动画 / / / 冒险, / 美国, / 英语,
百变雄师 第一季 Challenge of the GoBots Season 1(1984),7.5,3040,2, / 动作 / / / 动画 / / / 冒险, / 美国, / 英语,
百变雄师 第一季 Challenge of the GoBots Season 1(1984),7.5,3040,2, / 动作 / / / 动画 / / / 冒险, / 美国, / 英语,
百变雄师 第一季 Challenge of the GoBots Season 1(1984),7.5,3040,2, / 动作 / / / 动画 / / / 冒险, / 美国, / 英语,
蔬菜不寂寞第三季(2015),,0人评价,0, / 动画, / 中国大陆, / 汉语普通话,
蔬菜不寂寞第三季(2015),,0人评价,0, / 动画, / 中国大陆, / 汉语普通话,
蔬菜不寂寞第三季(2015),,0人评价,0, / 动画, / 中国大陆, / 汉语普通话,
蔬菜不寂寞第三季(2015),,0人评价,0, / 动画, / 中国大陆, / 汉语普通话,
蔬菜不寂寞第三季(2015),,0人评价,0, / 动画, / 中国大陆, / 汉语普通话,
蔬菜不寂寞第三季(2015),,0人评价,0, / 动画, / 中国大陆, / 汉语普通话,
蔬菜不寂寞第三季(2015),,0人评价,0, / 动画, / 中国大陆, / 汉语普通话,
蔬菜不寂寞第三季(2015),,0人评价,0, / 动画, / 中国大陆, / 汉语普通话,
蔬菜不寂寞第三季(2015),,0人评价,0, / 动画, / 中国大陆, / 汉语普通话,
蔬菜不寂寞第三季(2015),,0人评价,0, / 动画, / 中国大陆, / 汉语普通话,
蔬菜不寂寞第三季(2015),,0人评价,0, / 动画, / 中国大陆, / 汉语普通话,
蔬菜不寂寞第三季(2015),,0人评价,0, / 动画, / 中国大陆, / 汉语普通话,
恐龙世界(2020),,0人评价,0,, / 中国大陆, / 汉语普通话, / 2020-10-23(中国大陆)
安全救援 第一季 SAF3 Season 1(2013),,0人评价,0, / 剧情 / / / 喜剧 / / / 冒险, / 美国, / 英语,
瑞雪兆丰年(2019),,0人评价,0, / 动画 / / / 儿童 / / / 奇幻, / 中国大陆, / 汉语普通话, / 2019-02-16(中国大陆)
查莉成长日记 第二季 Good Luck Charlie Season 2(2011),9.3,8181,7, / 喜剧 / / / 家庭, / 美国, / 英语,
米奇妙妙大冒险 第一季 Mickey Mouse: Mixed-Up Adventures Season 1(2019),,0人评价,0, / 动画 / / / 儿童, / 美国, / 英语,
美丽人生 La vita è bella(1997),9.5,1446605,5713, / 剧情 / / / 喜剧 / / / 爱情 / / / 战争, / 意大利, / 意大利语 / 德语 / 英语, / 2020-01-03(中国大陆) / / / 1997-12-20(意大利)
辣妈正传(2013),6.8,30299,130, / 剧情 / / / 喜剧 / / / 家庭, / 中国大陆, / 汉语普通话,
奶泡泡学成语 第一季(2021),,0人评价,0, / 动画 / / / 短片 / / / 儿童, / 中国大陆, / 汉语普通话,
"科学的故事：权力、证据与激情 The Story Of Science: Power, Proof And Passion(2010)",9,1507,15, / 纪录片, / 英国, / 英语,
乔治·迈克尔：不一样的故事 George Michael: A Different Story(2005),,0人评价,1, / 纪录片 / / / 音乐 / / / 传记, / 英国, / 英语, / 2005-11-20
乔治·迈克尔：不一样的故事 George Michael: A Different Story(2005),,0人评价,1, / 纪录片 / / / 音乐 / / / 传记, / 英国, / 英语, / 2005-11-20
小强与旺财(2023),,0人评价,0,, / 中国大陆, / 汉语普通话,
小欢喜2(2025),,0人评价,2, / 剧情 / / / 家庭, / 中国大陆, / 汉语普通话,
小卫士 The Smoggies(1989),,0人评价,0, / 动画 / / / 家庭, / 加拿大 / 法国, / 英语 / 法语,
繁华似锦(2023),4.7,3273,20, / 剧情 / / / 爱情, / 中国大陆, / 汉语普通话,
好伙伴 The Early Hatchling Gets the Worm(2016),7.4,798,0, / 喜剧 / / / 动画 / / / 短片, / 芬兰 / 美国, / 英语, / 2016-06-10(美国)
俗女养成记2 俗女養成記2(2021),9.3,185554,721, / 剧情 / / / 喜剧, / 中国台湾, / 汉语普通话 / 闽南语,
小布与伟仔 第一季 Brandy & Mr. Whiskers Season 1(2004),9.1,516,0, / 动画 / / / 儿童, / 美国, / 英语,
小绿和小蓝 第四季(2023),,0人评价,0, / 喜剧 / / / 动画 / / / 奇幻, / 中国大陆, / 汉语普通话,
三时三餐 第二季 삼시세끼 시즌2(2015),9.4,7144,13, / 真人秀, / 韩国, / 韩语,
阿优学科学(2016),,0人评价,0, / 动画, / 中国大陆, / 汉语普通话,
三只兔子(2017),,0人评价,0, / 动画 / / / 儿童, / 中国大陆, / 汉语普通话,
穿越云南三千年——云小志漫游记(2021),,0人评价,1, / 动画 / / / 历史, / 中国大陆,,
小丘月圆 Lantern Hill(1989),8.5,387,3, / 剧情 / / / 家庭, / 加拿大 / 美国, / 英语, / 1989-08-29(蒙特利尔) / / / 1990-01-27(美国) / / / 1990-12-30(加拿大)
绿野仙踪 The Wizard of Oz(1939),8.2,58313,135, / 歌舞 / / / 奇幻 / / / 冒险, / 美国, / 英语, / 1939-08-12(威斯康星首映) / / / 1939-08-25(美国)
都市最强男保姆(2023),,0人评价,0, / 剧情 / / / 短片, / 中国大陆, / 汉语普通话,
史上最强弟子(2024),4.3,1879,6, / 剧情 / / / 喜剧, / 中国大陆, / 汉语普通话, / 2024-02-09(中国大陆网络)
都市最强男保姆(2023),,0人评价,0, / 剧情 / / / 短片, / 中国大陆, / 汉语普通话,
变形联盟之超变战神(2023),,0人评价,0, / 剧情 / / / 动作 / / / 科幻 / / / 动画 / / / 儿童 / / / 冒险, / 中国大陆, / 汉语普通话,
地下城与勇士之破界少女(2024),,0人评价,1, / 动画, / 中国大陆, / 汉语普通话,
地下城与勇士之破界少女(2024),,0人评价,1, / 动画, / 中国大陆, / 汉语普通话,
大宇宙时代(2024),,0人评价,1, / 动画, / 中国大陆, / 汉语普通话,
异人君莫邪(2024),,0人评价,1, / 动画, / 中国大陆, / 汉语普通话,
万古第一废材(2025),,0人评价,1, / 剧情 / / / 短片 / / / 奇幻, / 中国大陆, / 汉语普通话,
亏成首富从游戏开始(2024),7.3,1994,6, / 剧情 / / / 动画, / 中国大陆, / 汉语普通话,
四季童年(2023),,0人评价,11, / 剧情 / / / 喜剧 / / / 动画 / / / 奇幻, / 中国大陆, / 汉语普通话, / 2023-12-15(中国大陆)
旅途危机！圣芙蕾雅号特别事件(2024),,0人评价,0, / 动画, / 中国大陆, / 汉语普通话,
咸鱼哥 第二季(2024),,0人评价,1, / 喜剧 / / / 动画, / 中国大陆, / 汉语普通话,
一世之尊(2024),,0人评价,3, / 动画 / / / 奇幻, / 中国大陆, / 汉语普通话,
百妖谱·司府篇(2024),7.9,5025,8, / 动画, / 中国大陆, / 汉语普通话,
捕星司·源起(2024),,0人评价,1, / 动画, / 中国大陆, / 汉语普通话,
开心超人之时空营救(2024),6.1,2086,16, / 科幻 / / / 动画 / / / 冒险, / 中国大陆, / 汉语普通话, / 2024-01-20(中国大陆)
牧神记(2024),8.7,13921,74, / 动画 / / / 奇幻 / / / 冒险, / 中国大陆, / 汉语普通话,
守龙者(2024),5.8,2224,17, / 动画 / / / 奇幻 / / / 冒险, / 中国大陆 / 西班牙, / 英语, / 2024-08-17(中国大陆) / / / 2024-03-01(马拉加电影节) / / / 2024-04-19(西班牙)
神道帝尊(2024),,0人评价,0, / 动作 / / / 动画 / / / 奇幻, / 中国大陆, / 汉语普通话,
山山田田间(2024),,0人评价,0, / 动画, / 中国大陆, / 汉语普通话,
宗门里除了我都是卧底(2024),,0人评价,2, / 动作 / / / 动画 / / / 奇幻, / 中国大陆, / 汉语普通话,
白蛇：浮生(2024),7,142301,856, / 喜剧 / / / 爱情 / / / 动画 / / / 奇幻, / 中国大陆, / 汉语普通话, / 2024-08-10(中国大陆)
大道朝天(2024),8.1,3401,11, / 动作 / / / 动画 / / / 奇幻 / / / 古装, / 中国大陆, / 汉语普通话,
喜羊羊与灰太狼之守护(2024),5.7,5158,60, / 动画, / 中国大陆, / 汉语普通话, / 2024-07-19(中国大陆)
虎鹤妖师录(2023),5.5,12380,83, / 悬疑 / / / 奇幻 / / / 古装, / 中国大陆, / 汉语普通话,
盒中之海(2024),6.2,1939,19, / 科幻 / / / 动画 / / / 悬疑 / / / 奇幻 / / / 冒险, / 中国大陆, / 汉语普通话, / 2024-10-03(中国大陆网络)
食草老龙被冠以恶龙之名 第二季(2024),,0人评价,0, / 动画, / 中国大陆, / 汉语普通话,
食草老龙被冠以恶龙之名 第二季(2024),,0人评价,0, / 动画, / 中国大陆, / 汉语普通话,
伍六七之记忆碎片(2024),7.8,19821,51, / 喜剧 / / / 动作 / / / 动画 / / / 奇幻 / / / 冒险 / / / 武侠, / 中国大陆, / 汉语普通话,
头脑特工队2 Inside Out 2(2024),8.4,336795,1124, / 剧情 / / / 喜剧 / / / 动画 / / / 奇幻 / / / 冒险, / 美国, / 英语, / 2024-06-21(中国大陆) / / / 2024-06-12(德国) / / / 2024-06-14(美国)
虫小绿历史为什么之生活篇(2024),,0人评价,0, / 动画 / / / 短片 / / / 儿童, / 中国大陆, / 汉语普通话,
致我的星星 第二季 나의 별에게 2(2022),8.5,20720,131, / 喜剧 / / / 爱情 / / / 同性, / 韩国, / 韩语,
六样情(2024),,0人评价,13, / 爱情 / / / 动画 / / / 悬疑 / / / 短片 / / / 奇幻 / / / 古装, / 中国大陆, / 汉语普通话,
哈小浪之星域大冒险(2024),,0人评价,0, / 科幻 / / / 动画 / / / 儿童 / / / 冒险, / 中国大陆, / 汉语普通话,
神奇马戏团之动物饼干 Magical Circus: Animal Crackers(2017),5.7,5201,83, / 喜剧 / / / 动画 / / / 奇幻 / / / 冒险, / 美国 / 西班牙 / 中国大陆 / 韩国 / 中国香港, / 英语, / 2018-07-21(中国大陆) / / / 2017-06-12(安锡动画电影节)
