series_name,seasons_list
FLUFFY LAND,"[('FLUFFY LAND 动态漫', 48526), ('FLUFFY LAND 动态漫 英语版', 48527)]"
U探泰拉,"[('U探泰拉 中配版', 97321), ('U探泰拉', 95562)]"
一世之尊,"[('一世之尊', 43345)]"
一千零一夜,"[('一千零一夜之拯救黄金城', 72543)]"
七侯笔录,"[('七侯笔录', 43548)]"
万剑王座,"[('万剑王座', 106703)]"
万古第一神,"[('万古第一神', 47303)]"
万渣朝凰,"[('万渣朝凰 第四季', 48288), ('万渣朝凰 第三季', 48287), ('万渣朝凰 第二季', 48286), ('万渣朝凰 第一季', 48285)]"
三个和尚,"[('三个和尚', 47499)]"
三十六计奇遇记,"[('三十六计奇遇记', 47648)]"
三十六骑,"[('三十六骑', 45171)]"
三只兔子,"[('三只兔子 第二季', 46970), ('三只兔子 第二季', 46970)]"
三国演义,"[('三国演义', 85214)]"
不一样的数学故事,"[('不一样的数学故事', 46887)]"
不一样的科学故事,"[('不一样的科学故事', 46889)]"
不一样的语文故事,"[('不一样的语文故事', 46888)]"
不死不灭,"[('不死不灭', 43350)]"
不白吃古诗词漫游记,"[('不白吃古诗词漫游记 第一季', 47087), ('不白吃古诗词漫游记 第二季', 48020)]"
不白吃话山海经,"[('不白吃话山海经 第二季', 74811)]"
东方探秘谷,"[('东方探秘谷之游乐成语庄', 74414), ('东方探秘谷之千年寓言府', 74413)]"
东郭先生,"[('东郭先生', 47515)]"
丫丫的日常百科,"[('小鸡丫丫的日常百科 第二季', 46715), ('丫丫的日常百科 第一季', 46714), ('丫丫的日常百科 第3季', 72795), ('丫丫的日常百科 第4季', 72559)]"
中医药里的故事,"[('中医药里的故事 第1季', 72544)]"
中华上下五千年,"[('中华上下五千年之名人故事篇 第一季', 46773), ('中华上下五千年之民间故事传说', 46831), ('中华上下五千年之传统节日篇', 72785)]"
中华优秀传统文化系列动画片,"[('中华优秀传统文化系列动画片 第2季', 72909), ('中华优秀传统文化系列动画片之中医药的故事', 72908)]"
中华名人小课堂,"[('中华名人小课堂孔子篇', 72800), ('中华名人小课堂庄子篇', 72799), ('中华名人小课堂老子篇', 72798)]"
中华廉政故事,"[('中华廉政故事 第1季', 72558)]"
中华民间故事,"[('中华民间故事 第一季', 46719)]"
中华美德,"[('中华美德 成语教育动画', 46878), ('中华美德', 47664)]"
中华美德 成语教育动画,"[('中华美德 成语教育动画', 46878)]"
中华诗歌故事,"[('中华诗歌故事唐宋篇', 72776), ('中华诗歌故事之明清篇', 72744)]"
中国畅想曲,"[('中国畅想曲', 45571)]"
乌鸦为什么是黑的,"[('乌鸦为什么是黑的', 47516)]"
乌龙院,"[('乌龙院之活宝传奇 第8季', 72680), ('乌龙院之活宝传奇 第7季', 72679), ('乌龙院之活宝传奇 第6季', 72677), ('乌龙院之活宝传奇 第5季', 72672), ('乌龙院之活宝传奇 第4季', 72671), ('乌龙院之活宝传奇 第3季', 72667)]"
乐儿智慧乐园 世界各国,"[('乐儿智慧乐园 世界各国', 72676)]"
乐儿智慧乐园 幼儿启蒙,"[('乐儿智慧乐园 幼儿启蒙', 72678)]"
乐儿智慧王国 七巧板,"[('乐儿智慧王国 七巧板', 46883)]"
乐儿智慧王国 博览名著,"[('乐儿智慧王国 博览名著 第一季', 46884)]"
乐儿智慧王国 奇幻科普,"[('乐儿智慧王国 奇幻科普', 46882)]"
乐园市的快乐日常,"[('乐园市的快乐日常', 72878)]"
乐比悠悠,"[('乐比悠悠学成语', 46891), ('乐比悠悠之天天向上', 72813)]"
乐比悠悠学成语,"[('乐比悠悠学成语', 46891)]"
乖桃与闹瓜,"[('乖桃与闹瓜 第二季', 46858)]"
亏成首富从游戏开始,"[('亏成首富从游戏开始', 43344)]"
亡灵天灾：我抬手百万骨海,"[('亡灵天灾：我抬手百万骨海 动态漫', 100170)]"
人参果,"[('人参果', 47501)]"
今天的晚餐就是你,"[('今天的晚餐就是你', 43370)]"
从不出手的我混成了天榜大佬·,"[('从不出手的我混成了天榜大佬·动态漫', 103000)]"
从姑获鸟开始,"[('从姑获鸟开始之龙城风云', 45957)]"
仙女奇缘,"[('仙女奇缘', 44363)]"
仙王的日常生活,"[('仙王的日常生活 第四季', 43340)]"
伍六七,"[('伍六七之记忆碎片', 48315)]"
传闻中的白月光,"[('传闻中的白月光', 48280)]"
你好！卟卟,"[('你好！卟卟6', 72656), ('你好！卟卟5', 72652)]"
你的人生是我来迟了,"[('你的人生是我来迟了', 45970)]"
假如我是武松,"[('假如我是武松', 47512)]"
傲世九重天,"[('傲世九重天', 43362)]"
儿童小百科,"[('儿童小百科', 72553)]"
元气奇事,"[('元气奇事2', 68616)]"
光影天炎战甲,"[('光影天炎战甲', 72721)]"
全职高手荣耀小剧场,"[('全职高手荣耀小剧场', 74108)]"
公众应急知识,"[('公众应急知识', 72739)]"
冒险小王子,"[('冒险小王子 第2季', 72757)]"
冰封末日：绝无生还之路,"[('冰封末日：绝无生还之路 动态漫', 88935)]"
凸变英雄X,"[('凸变英雄X 日语版', 91575), ('凸变英雄X', 43554)]"
凹凸世界·Reborn,"[('凹凸世界·Reborn', 84438)]"
凹凸学园,"[('凹凸学园 第三季', 46113)]"
出动 安全救援号,"[('出动 安全救援号 第一季', 46787)]"
凿壁偷光-匡衡的传说,"[('凿壁偷光-匡衡的传说', 72905)]"
功夫萌娃,"[('功夫萌娃 第1季', 72914)]"
十方武圣,"[('十方武圣', 43353)]"
半蛋龙,"[('半蛋龙', 72924)]"
南瓜学院,"[('南瓜学院', 46935)]"
南郭先生,"[('南郭先生', 47502)]"
卡卡虎大冒险,"[('卡卡虎大冒险 第四季', 45475)]"
原来我早就无敌了,"[('原来我早就无敌了 动态漫', 47082), ('原来我早就无敌了 第三季 动态漫', 98269)]"
参娃与天池怪兽,"[('参娃与天池怪兽 第三季', 46780), ('参娃与天池怪兽 第二季', 47533), ('参娃与天池怪兽 第三季', 46780)]"
双生武魂,"[('双生武魂', 97755)]"
反派初始化,"[('反派初始化', 43348), ('反派初始化 动态漫', 88987)]"
反派师尊的我带着徒弟们天下无敌,"[('反派师尊的我带着徒弟们天下无敌 动态漫', 98255)]"
反诈小分队,"[('反诈小分队', 72549)]"
变形联盟,"[('变形联盟之越空勇者', 43798), ('变形联盟之雷霆再起', 47188)]"
可可小爱快乐学知识,"[('可可小爱快乐学知识', 72769)]"
史上最强,"[('史上最强', 47194)]"
号牛乃唐,"[('23号牛乃唐 第2季', 72947), ('23号牛乃唐 第1季', 72946)]"
向着星辰的长征,"[('向着星辰的长征', 105931)]"
君子无疾,"[('君子无疾', 43355)]"
君有云,"[('君有云 第二季', 73961)]"
命运拳台,"[('命运拳台', 39668)]"
咕噜先生,"[('咕噜先生', 47608)]"
咖宝车神,"[('咖宝车神之飞天战队', 48242), ('咖宝车神之拯救联盟（下）', 48241), ('咖宝车神之拯救联盟（上）', 48240), ('咖宝车神之时空守护', 48243)]"
咸鱼哥,"[('咸鱼哥 第二季', 43341), ('咸鱼哥 第二季 粤语版', 47792)]"
哈小浪,"[('哈小浪之星域大冒险', 48127)]"
哑舍,"[('哑舍 动态漫 第二季', 46610), ('哑舍 动态漫 第一季', 46609)]"
哪吒传奇,"[('哪吒传奇', 80050)]"
啾啾成长记,"[('啾啾成长记', 46716)]"
善良的夏吾冬,"[('善良的夏吾冬', 47507)]"
喜羊羊与灰太狼,"[('喜羊羊与灰太狼之羊村守护者', 32544), ('喜羊羊与灰太狼之跨时空救兵', 48247), ('喜羊羊与灰太狼之奇趣外星客', 32543)]"
喷喷象小百科,"[('喷喷象小百科之交通篇', 72801)]"
嗨！三宝,"[('嗨！三宝', 72921)]"
嘀嗒传奇,"[('嘀嗒传奇 第2季', 72781)]"
嘟嘟小分队,"[('嘟嘟小分队', 72929)]"
四格勇者,"[('四格勇者', 43368)]"
回铭,"[('回铭之烽火三月', 43337)]"
土波兔,"[('土波兔之酷酷智能', 72808), ('土波兔之暖暖家风', 72807), ('土波兔 第6季', 72912), ('土波兔 第5季', 72911)]"
土红色的骆驼,"[('土红色的骆驼', 47660)]"
圣尊助理的我已经无敌了,"[('圣尊助理的我已经无敌了 动态漫', 102872)]"
地上城与勇士,"[('地上城与勇士', 47772)]"
地下城与勇士,"[('地下城与勇士之破界少女 日语版', 47132), ('地下城与勇士之破界少女 日语版', 47132)]"
多多趣味识字课堂,"[('多多趣味识字课堂 第1季', 72791)]"
大侠请上功,"[('大侠请上功', 45958)]"
大侦探熊猫猪,"[('大侦探熊猫猪', 72816)]"
大宇宙时代,"[('大宇宙时代', 39657)]"
大宝大牙科学探索,"[('大宝大牙科学探索', 72920)]"
大森林里的小故事,"[('大森林里的小故事', 47606)]"
大盗贼,"[('大盗贼', 47482)]"
大英雄狄青,"[('大英雄狄青', 47488)]"
大象无形,"[('大象无形 动态漫', 102022)]"
大运河奇缘,"[('大运河奇缘3', 72934)]"
大道朝天,"[('大道朝天', 43369)]"
天命出马仙,"[('天命出马仙 动态漫', 100171)]"
天命大主宰,"[('天命大主宰', 73066)]"
天外福星,"[('天外福星', 72570)]"
天界代购店,"[('天界代购店 动态漫', 45991)]"
天眼之父南仁东,"[('天眼之父南仁东', 46980)]"
奇奇和努娜,"[('奇奇和努娜2', 45618)]"
奇奇妙妙博物馆,"[('奇奇妙妙博物馆', 72567)]"
奇妙大冒险,"[('奇妙大冒险', 46842)]"
奇特工程车,"[('奇特工程车 第2季', 72585), ('奇特工程车 第1季', 72584)]"
奇特益智工程车,"[('奇特益智工程车 第2季', 72812), ('奇特益智工程车 第1季', 72811)]"
奇趣特工队,"[('奇趣特工队 第2季', 72753)]"
女娲补天,"[('女娲补天', 47513)]"
奶泡泡学成语,"[('奶泡泡学成语 第四季', 47397), ('奶泡泡学成语 第三季', 47396), ('奶泡泡学成语 第二季', 47395), ('奶泡泡学成语 第一季', 47394)]"
好伙伴,"[('好伙伴', 46876)]"
好猫咪咪,"[('好猫咪咪', 47495)]"
如果历史是一群喵,"[('如果历史是一群喵 宋辽金夏篇', 45286), ('如果历史是一群喵 南宋金元篇', 48310), ('如果历史是一群喵 元末明初篇', 100292), ('如果历史是一群喵 元末明初篇', 100292)]"
妖神记,"[('妖神记之黑狱篇', 28769)]"
妖道至尊,"[('妖道至尊', 45434)]"
妙趣横生恐龙世界,"[('妙趣横生恐龙世界', 46793)]"
始祖的足迹,"[('始祖的足迹', 72910)]"
威力成长记,"[('威力成长记', 46892)]"
嫁人就嫁灰太狼,"[('嫁人就嫁灰太狼', 103105)]"
孔子归来,"[('孔子归来', 72902)]"
孔子见老子,"[('孔子见老子', 72903)]"
安全小卫士,"[('安全小卫士 第二季', 46880), ('安全小卫士 第二季', 46880)]"
宗门里除了我都是卧底,"[('宗门里除了我都是卧底', 48518)]"
宝宝乐学堂,"[('宝宝乐学堂之启蒙大世界', 72779), ('宝宝乐学堂之智慧大挑战', 72778), ('宝宝乐学堂之欢乐大拼盘', 72780)]"
家有开心果,"[('家有开心果', 47613)]"
封灵特优生,"[('封灵特优生 动态漫', 99546)]"
小刺猬吉吉,"[('小刺猬吉吉 第6季', 72591), ('小刺猬吉吉 第5季', 72590), ('小刺猬吉吉 第4季', 72589)]"
小刻的画图写话,"[('小刻的画图写话 中配版', 46628), ('小刻的画图写话', 46627)]"
小和尚,"[('小和尚', 47650)]"
小品一家人,"[('小品一家人之神探修勾', 46240)]"
小小的世界,"[('小小的世界', 72572)]"
小小知道,"[('小小知道之恐龙世界大冒险', 48594)]"
小强与旺财,"[('小强与旺财', 46881)]"
小熊猫学木匠,"[('小熊猫学木匠', 47509)]"
小猫威力,"[('小猫威力之亲子时光', 72542), ('小猫威力之快乐的小伙伴', 72533)]"
小神有戏,"[('小神有戏2', 72810), ('小神有戏 第1季', 72809)]"
小绿和小蓝,"[('小绿和小蓝 第二季', 43339), ('小绿和小蓝 第三季', 46171), ('小绿和小蓝 第四季', 46653), ('小绿和小蓝 第五季', 47104)]"
小羊哈哈童年日记,"[('小羊哈哈童年日记之礼仪篇', 72548)]"
小花仙,"[('小花仙 第五季 春季篇', 48104), ('小花仙 第四季', 48103), ('小花仙 第三季', 48102)]"
小草帽,"[('小草帽', 47649)]"
小药童也想修仙,"[('小药童也想修仙', 47907)]"
小蛋壳,"[('小蛋壳', 47514)]"
小蜜蜂,"[('小蜜蜂 第3季', 72768), ('小蜜蜂 第3季', 72768)]"
小豆的微观世界,"[('小豆的微观世界', 72554)]"
小鲤鱼历险记,"[('小鲤鱼历险记', 80048)]"
小鸡丫丫动起来,"[('小鸡丫丫动起来 第2季', 72877), ('小鸡丫丫动起来 第1季', 72876)]"
小鸡丫丫的日常百科,"[('小鸡丫丫的日常百科 第二季', 46715)]"
小鸡彩虹,"[('小鸡彩虹 第七季', 47539), ('小鸡彩虹 第八季', 47538)]"
小鹿蓝蓝,"[('小鹿蓝蓝', 45730)]"
少年歌行,"[('少年歌行 海外仙山篇', 45734), ('少年歌行 血染天启篇', 46188)]"
少年苏东坡传奇,"[('少年苏东坡传奇', 43932)]"
少年英雄小哪吒,"[('少年英雄小哪吒', 46859)]"
尼尼和她的好朋友,"[('尼尼和她的好朋友 第2季', 72742)]"
屈原,"[('屈原', 45473)]"
山山田田间,"[('山山田田间', 48855)]"
山海宝贝,"[('山海宝贝 第2季', 72926), ('山海宝贝 第2季', 72926)]"
山海封神,"[('山海封神 动态漫', 103017)]"
崂山道士,"[('崂山道士', 47504)]"
工程车救援行动队,"[('工程车救援行动队 第3季', 72588), ('工程车救援行动队 第2季', 72587), ('工程车救援行动队 第1季', 72586)]"
幻宠师,"[('幻宠师', 45961)]"
应该靠自己,"[('应该靠自己', 47485)]"
开局一条鲲,"[('开局一条鲲 动态漫', 102888)]"
开局地摊卖大力,"[('开局地摊卖大力', 45964)]"
开心动物园,"[('开心动物园 第1季', 72817), ('开心动物园 第2季', 72815), ('开心动物园 第3季', 72814)]"
开心超人,"[('开心超人联盟之异星迷航', 42008), ('开心超人联盟之异星迷航', 42008)]"
异人君莫邪,"[('异人君莫邪', 43546)]"
异空战歌,"[('异空战歌', 39703)]"
弟子都说我无敌,"[('弟子都说我无敌', 47196)]"
张飞审瓜,"[('张飞审瓜', 47498)]"
彩虹宝宝,"[('彩虹宝宝 第六季', 48106), ('彩虹宝宝 第五季', 48105)]"
彩虹森林的故事,"[('彩虹森林的故事 第3季', 72788), ('彩虹森林的故事 第3季', 72788), ('彩虹森林的故事 第2季', 72562)]"
彭祖传奇,"[('彭祖传奇之少年奇缘', 72566)]"
心奇爆龙战车,"[('心奇爆龙战车之暴龙出击 第三季', 46853), ('心奇爆龙战车之永宝帮帮忙', 46836), ('心奇爆龙战车之恐龙帮帮忙', 99792)]"
快乐家家车,"[('快乐家家车', 47484)]"
快乐小郑星,"[('快乐小郑星 第2季', 72546)]"
快乐熊兜兜,"[('快乐熊兜兜之奇妙世界', 72943)]"
快乐熊猫一家人,"[('快乐熊猫一家人 第1季', 72526)]"
快乐的海洋,"[('快乐的海洋', 46725)]"
念无双,"[('念无双', 92648)]"
怪兽家族,"[('怪兽家族', 72685)]"
怪兽小馆,"[('怪兽小馆', 43359)]"
怪城,"[('怪城', 47611)]"
怪想售,"[('怪想售', 43374)]"
怪老头儿,"[('怪老头儿', 47483)]"
恐龙时代,"[('恐龙时代 第三季', 72879), ('恐龙时代 第二季', 72727)]"
恰同学少年,"[('恰同学少年', 35210)]"
愚人买鞋,"[('愚人买鞋', 47494)]"
成语中国,"[('成语中国 第一季', 48501)]"
成语诗词荟萃,"[('成语诗词荟萃', 72550)]"
我们渡江啦,"[('我们渡江啦', 46752), ('我们渡江啦 第二季', 46751)]"
我叫MT,"[('我叫MT 第七季', 48158)]"
我在修仙世界朝九晚五,"[('我在修仙世界朝九晚五', 47798)]"
我在未来有套房,"[('我在未来有套房 第二季', 84293)]"
我在末世搬金砖,"[('我在末世搬金砖 动态漫', 103005)]"
我是发明家,"[('我是发明家 第2季', 72939), ('我是发明家 第1季', 72938), ('我是发明家 第3季', 72940)]"
我玩游戏成了绝世强者,"[('我玩游戏成了绝世强者', 45739)]"
我的三体,"[('我的三体 第四季', 45975)]"
我的师傅每到大限才突破,"[('我的师傅每到大限才突破 动态漫', 103004)]"
我的师兄太强了,"[('我的师兄太强了', 90883)]"
我的弟子遍布诸天万界,"[('我的弟子遍布诸天万界 第二季 动态漫', 98831)]"
我的弟子都超神,"[('我的弟子都超神 第二季', 47198)]"
我真不是大反派啊,"[('我真不是大反派啊 动态漫', 102893)]"
我真的不想当,"[('我真的不想当第一 动态漫', 103006)]"
我靠签到逆天改命,"[('我靠签到逆天改命', 47199)]"
托宝战士,"[('托宝战士之银河勇士战记', 46999), ('托宝战士之我教你画', 46998), ('托宝战士之施望的秘密', 46997), ('托宝战士之热血再燃', 46996), ('托宝战士之顶峰对决', 46995), ('托宝战士之银河保卫战', 46994), ('托宝战士之银河大激斗', 46993), ('托宝战士之银河侦探 第2季', 72755), ('托宝战士之银河侦探 第1季', 72754), ('托宝战士之银河侦探 第3季', 72735), ('托宝战士之银河侦探 第5季', 72737), ('托宝战士之银河侦探 第4季', 72736)]"
抬驴,"[('抬驴', 47506)]"
拇指总动员,"[('拇指总动员6：明珠黑影', 45690), ('拇指总动员5：风暴之眼', 45689), ('拇指总动员2：雨林奇遇', 45688), ('拇指总动员4：雪山寻鹿', 45687), ('拇指总动员6：明珠黑影', 45690)]"
捕星司·源起,"[('捕星司·源起', 39698)]"
